gsis_id,cfb_dominator,cfb_best_dominator,cfb_breakout_age,cfb_final_age,cfb_rec_yards,cfb_rush_yards,cfb_seasons
00-0041099,0.089228,0.111917,,21.722108,386.0,33.0,4.0
00-0041467,,,,,,,
00-0041133,0.0,0.101893,,24.668036,0.0,0.0,3.0
00-0040930,,,,,,,
00-0030565,,,,,,,
00-0040948,,,,,,,
00-0029892,,,,,,,
00-0041244,,,,,,,
00-0041139,,,,,,,
00-0030564,,,,,,,
00-0030506,,,,,,,
00-0030279,,,,,,,
00-0026158,,,,,,,
00-0031280,,,,,,,
00-0031235,,,,,,,
00-0031381,,,,,,,
00-0031237,,,,,,,
00-0031236,,,,,,,
00-0031408,,,,,,,
00-0031503,0.213456,0.213456,20.651608,20.651608,371.0,204.0,1.0
00-0032268,0.361172,0.361172,20.837782,20.837782,418.0,815.0,1.0
00-0032104,0.352547,0.352547,21.218344,21.218344,208.0,1515.0,1.0
00-0031588,0.134147,0.134147,,20.755647,538.0,28.0,1.0
00-0031610,0.12827,0.12827,,21.965777,296.0,0.0,1.0
00-0031687,,,,,,,
00-0032950,0.048039,0.048039,,21.670089,0.0,49.0,1.0
00-0033106,0.093989,0.093989,,20.881588,153.0,204.0,2.0
00-0032764,0.432035,0.432035,21.6564,21.6564,97.0,1986.0,2.0
00-0032392,0.083143,0.083143,,20.84052,405.0,0.0,2.0
00-0033090,0.103017,0.119105,,20.733744,642.0,0.0,2.0
00-0033119,,,,,,,
00-0032398,0.14071,0.14071,,22.209446,745.0,10.0,2.0
00-0033110,0.062389,0.062389,,22.663929,562.0,0.0,2.0
00-0032775,0.112029,0.238113,19.945243,20.944559,467.0,3.0,2.0
00-0033077,0.443248,0.443248,21.092402,22.091718,69.0,728.0,2.0
00-0033040,,,,,,,
00-0032464,,,,,,,
00-0033869,,,,,,,
00-0033537,0.17217,0.207023,19.964408,20.966461,217.0,580.0,3.0
00-0033897,0.149832,0.149832,,20.106776,335.0,1190.0,2.0
00-0033885,,,,,,,
00-0033280,0.065,0.337267,19.233402,20.235455,0.0,0.0,3.0
00-0033906,0.067164,0.155987,,21.106092,0.0,0.0,2.0
00-0033921,0.084906,0.190618,,20.511978,0.0,0.0,3.0
00-0033908,0.457661,0.536047,22.212183,23.214237,206.0,29.0,3.0
00-0033857,0.036036,0.203285,18.773443,19.775496,0.0,0.0,2.0
00-0033873,0.168421,0.264579,19.956194,20.958248,0.0,0.0,3.0
00-0033217,,,,,,,
00-0033881,0.004202,0.127499,,21.998631,0.0,0.0,3.0
00-0033923,0.203674,0.236515,19.071869,21.073238,356.0,1256.0,3.0
00-0033553,0.066372,0.391627,19.326489,21.327858,0.0,3.0,3.0
00-0033858,0.129593,0.225237,19.028063,21.029432,506.0,5.0,3.0
00-0033526,0.125549,0.324792,18.959617,20.960986,106.0,974.0,3.0
00-0033948,0.173072,0.173072,,21.415469,70.0,1003.0,2.0
00-0033555,0.022222,0.25,22.959617,22.959617,0.0,0.0,3.0
00-0033949,0.159292,0.364299,19.597536,21.598905,0.0,0.0,3.0
00-0033293,,,,,,,
00-0026498,,,,,,,
00-0033288,0.067624,0.067624,,22.896646,259.0,0.0,3.0
00-0033955,0.279463,0.280935,19.682409,20.684463,372.0,1642.0,3.0
00-0033591,0.0,0.058656,,20.654346,0.0,0.0,2.0
00-0033246,,,,,,,
00-0033375,,,,,,,
00-0033376,,,,,,,
00-0033357,,,,,,,
00-0033306,,,,,,,
00-0033307,,,,,,,
00-0033319,,,,,,,
00-0033662,,,,,,,
00-0033725,,,,,,,
00-0033699,,,,,,,
00-0034844,0.265008,0.265008,18.557153,20.558522,454.0,1133.0,3.0
00-0034796,0.081081,0.297863,18.647502,20.648871,0.0,0.0,3.0
00-0034855,0.156463,0.264786,20.383299,22.384668,0.0,0.0,3.0
00-0034869,0.162651,0.276448,20.240931,20.240931,0.0,-5.0,2.0
00-0034775,0.207437,0.207437,20.785763,20.785763,730.0,27.0,3.0
00-0034837,0.173703,0.194316,,22.699521,777.0,17.0,3.0
00-0034827,0.310926,0.310926,20.383299,20.383299,1033.0,61.0,3.0
00-0034857,0.066127,0.303731,21.281314,21.281314,0.0,11.0,3.0
00-0034791,0.170601,0.28594,18.680356,21.68104,31.0,1175.0,4.0
00-0034829,0.054878,0.14326,,21.913758,0.0,0.0,4.0
00-0034365,0.0,0.055556,,21.237509,0.0,0.0,2.0
00-0034383,0.014441,0.046183,,21.141684,31.0,0.0,3.0
00-0034798,0.002252,0.063,,22.064339,0.0,0.0,4.0
00-0034753,0.0,0.094032,,21.98768,0.0,0.0,3.0
00-0034351,0.244144,0.244144,21.661875,21.661875,96.0,0.0,3.0
00-0034348,0.046763,0.236841,20.895277,21.894593,0.0,0.0,4.0
00-0034272,0.178454,0.178454,,22.893908,723.0,108.0,3.0
00-0034439,0.006757,0.069172,,21.697467,0.0,0.0,4.0
00-0034487,,,,,,,
00-0034184,,,,,,,
00-0034613,,,,,,,
00-0035229,0.023649,0.153998,,21.163587,0.0,0.0,2.0
00-0035640,0.052083,0.094895,,20.714579,0.0,0.0,3.0
00-0035662,0.13936,0.13936,,21.242984,1167.0,0.0,2.0
00-0035228,0.191667,0.313002,21.067762,21.067762,0.0,0.0,3.0
00-0035700,0.094114,0.094114,,20.553046,100.0,477.0,2.0
00-0035704,0.144322,0.166667,,21.806982,20.0,237.0,4.0
00-0035644,0.023649,0.146701,,20.780287,0.0,0.0,3.0
